anime_id,scores
34502,6.26
34309,
34096,8.98
34134,7.51
25777,8.51
33486,8.1
32937,8.26
33506,7.35
33417,7.08
31765,7.56
32887,7.07
30455,6.3
33047,6.29
31783,7.64
34451,7.79
33852,
25537,8.17
33489,7.81
32949,7.13
32901,6.35
34055,6.56
32981,5.26
34176,7.07
33010,6.35
31537,6.67
31931,7.58
31629,6.63
33018,6.74
29643,5.99
33337,7.66
33839,5.18
34350,7.1
33820,4.06
20471,
33371,6.81
32878,6.1
33573,7.0
31853,6.97
32086,7.03
33354,7.66
9488,7.2
34525,6.43
28833,6.55
33729,6.99
33730,7.0
33388,
34088,5.62
32830,5.16
34257,6.54
32407,6.45
34244,6.91
34497,6.45
33988,7.54
34430,7.67
32271,5.38
34299,7.28
33672,7.44
31678,7.24
32212,6.95
34208,6.36
3786,8.6
30778,7.54
34100,7.93
33049,8.49
33050,8.67
34338,6.91
34427,6.37
33203,6.96
33731,7.44
34488,
33389,6.25
32936,6.21
33783,6.44
34527,
23279,7.12
33378,7.49
21877,7.77
33948,6.77
33204,6.83
34028,5.69
33733,6.7
33027,6.42
33012,6.31
33840,6.61
33532,5.98
34198,6.37
33089,7.53
32133,6.58
34501,6.43
34032,6.87
31758,8.79
34104,7.08
33206,7.95
33519,7.55
33520,7.56
31658,8.08
31812,8.25
34106,7.05
34021,7.86
17947,7.44
32900,7.46
33788,6.67
33737,6.27
31422,6.34
31445,
20715,
34223,3.33
34383,5.33
33850,6.66
34264,
34148,6.62
34392,5.56
33983,7.3
34161,7.61
33447,5.88
30695,6.25
33391,5.55
33019,6.86
32262,6.62
32951,7.13
34393,4.73
33726,7.21
34494,7.39
34102,7.34
33889,5.78
34289,5.71
33836,6.28
32836,7.61
32843,8.19
34456,
34315,
30736,7.43
30223,
33095,8.72
33502,7.67
33362,7.29
33036,7.04
27783,5.74
34086,7.31
34310,
34177,6.61
34449,5.12
32596,
34416,
34474,6.69
34498,6.09
34076,8.09
32924,7.12
34522,6.54
34467,5.81
32615,7.96
32222,6.19
34471,6.85
34284,7.7
34445,7.68
33390,5.43
